,year,Industry_Tag,Close
0,2000,apparel,3.745681739988781
1,2000,automotive,38.6239705539885
2,2000,aviation,13.363982068167793
3,2000,consumer goods,14.20714979701572
4,2000,e-commerce,2.3266834079746217
5,2000,entertainment,28.779456093197776
6,2000,finance,29.471828578010438
7,2000,food,18.708405354666333
8,2000,food & beverage,10.95943110392838
9,2000,footwear,6.4177952285796875
10,2000,gaming,4.078079436506544
11,2000,healthcare,24.46953474529206
12,2000,hospitality,13.48371830819145
13,2000,logistics,33.821620524875705
14,2000,manufacturing,24.457228441087025
15,2000,retail,21.396125590517407
16,2000,technology,19.49428172294967
17,2001,apparel,5.230953884701575
18,2001,automotive,30.641648390600757
19,2001,aviation,16.338708712208657
20,2001,consumer goods,14.978619766491716
21,2001,e-commerce,0.6100212932834702
22,2001,entertainment,20.60792460749226
23,2001,finance,23.62302384068889
24,2001,food,16.027516888033958
25,2001,food & beverage,11.974693011212093
26,2001,footwear,8.27727250899038
27,2001,gaming,3.9704581912486785
28,2001,healthcare,28.861487980811827
29,2001,hospitality,15.872786914148639
30,2001,logistics,35.161473351140174
31,2001,manufacturing,30.276898184130268
32,2001,retail,21.029772319620655
33,2001,technology,12.136980036574025
34,2002,apparel,4.399792082252956
35,2002,automotive,27.168330811318896
36,2002,aviation,14.52230281678457
37,2002,consumer goods,16.964351478077116
38,2002,e-commerce,0.8242063486859912
39,2002,entertainment,9.969481575665215
40,2002,finance,19.71612289027562
41,2002,food,13.77818170804826
42,2002,food & beverage,12.914987573232601
43,2002,footwear,7.4266108104160855
44,2002,gaming,3.0590239810565163
45,2002,healthcare,32.44185171430073
46,2002,hospitality,14.021748020535423
47,2002,logistics,44.401507438175265
48,2002,manufacturing,33.81130626466539
49,2002,retail,19.959884353100307
50,2002,technology,9.481893717318714
51,2003,apparel,4.294576142042402
52,2003,automotive,27.632338904199145
53,2003,aviation,14.489184250907293
54,2003,consumer goods,17.637120180029086
55,2003,e-commerce,1.887069446226907
56,2003,entertainment,8.986264167442208
57,2003,finance,22.515861081698585
58,2003,food,11.656077553355505
59,2003,food & beverage,13.176300252871538
60,2003,footwear,8.171442860648746
61,2003,gaming,1.9789940397890786
62,2003,healthcare,30.0726838036189
63,2003,hospitality,14.797237793604532
64,2003,logistics,53.514848300388884
65,2003,manufacturing,38.99789297013056
66,2003,retail,17.93714208924581
67,2003,technology,9.554317810424855
68,2004,apparel,6.6911596618001425
69,2004,automotive,37.244636832721646
70,2004,aviation,13.382060902459282
71,2004,consumer goods,19.621444869924474
72,2004,e-commerce,2.178261908746901
73,2004,entertainment,11.657856224784775
74,2004,finance,28.483117118714347
75,2004,food,16.344128979576958
76,2004,food & beverage,17.055573650138086
77,2004,footwear,13.776390677406674
78,2004,gaming,2.628588381267729
79,2004,healthcare,32.5821404759846
80,2004,hospitality,19.155625929908147
81,2004,logistics,67.98971445598299
82,2004,manufacturing,47.24029699961344
83,2004,retail,23.50647772209985
84,2004,technology,11.398918382451603
85,2005,apparel,9.235603633381071
86,2005,automotive,41.6293383969201
87,2005,aviation,13.311493317286173
88,2005,consumer goods,20.57395025157424
89,2005,e-commerce,1.9948551640624093
90,2005,entertainment,11.984177889095413
91,2005,finance,29.35124999757797
92,2005,food,19.067588510967436
93,2005,food & beverage,20.622794880438104
94,2005,footwear,14.333561969181847
95,2005,gaming,2.7438222860533092
96,2005,healthcare,38.42234158894372
97,2005,hospitality,25.30125446168203
98,2005,logistics,77.067047149416
99,2005,manufacturing,45.77077456883022
100,2005,retail,27.989115320500872
101,2005,technology,12.707805717984835
102,2006,apparel,12.943289320955994
103,2006,automotive,56.22815433441405
104,2006,aviation,14.875071384992257
105,2006,consumer goods,23.158470874446955
106,2006,e-commerce,1.795466137122348
107,2006,entertainment,13.981474292230796
108,2006,finance,28.179244958661748
109,2006,food,37.67208352108551
110,2006,food & beverage,20.698879818200748
111,2006,footwear,14.630030110197247
112,2006,gaming,4.451067992890499
113,2006,healthcare,37.761623473756345
114,2006,hospitality,29.669739818193047
115,2006,logistics,93.96938485073379
116,2006,luxury goods,12.84788542934972
117,2006,manufacturing,46.303703004145525
118,2006,retail,30.59428227565203
119,2006,technology,16.018963667880968
120,2007,apparel,16.97374096144718
121,2007,automotive,62.336872902524426
122,2007,aviation,14.597449350470859
123,2007,consumer goods,27.625309565469404
124,2007,e-commerce,3.3614740989122733
