,Brand_Name,year,YoY_Growth (%)
0,3m,2017,12.962542247125361
1,3m,2018,47.975353632334915
2,3m,2019,-7.851488257700637
3,adidas,2017,-14.997582667823126
4,adidas,2018,-1.5964077740893046
5,adidas,2019,1.7524938170525937
6,adobe,2017,32.330064777966506
7,adobe,2018,116.17879390978538
8,adobe,2019,-4.469198684997134
9,amazon,2017,21.035385220596286
10,amazon,2018,169.01509802140794
11,amazon,2019,-24.80797209095109
12,amd,2017,318.5964010345457
13,amd,2018,100.13459506218697
14,amd,2019,17.84472938480932
15,american eagle outfitters,2017,-26.73521007996229
16,american eagle outfitters,2018,60.18459773327203
17,american eagle outfitters,2019,-16.785722396355037
18,american express,2017,-12.276185065525903
19,american express,2018,25.06307221048139
20,american express,2019,4.110129219720981
21,apple,2017,4.246575055691659
22,apple,2018,58.272101766043285
23,apple,2019,-7.777270823486607
24,block,2017,531.8540556712051
25,block,2018,216.8910686188233
26,block,2019,-25.00964328002933
27,bmw group,2017,-8.37145776607469
28,bmw group,2018,-22.20972719737892
29,bmw group,2019,73.79138911960513
30,chipotle,2017,-22.343752168082023
31,chipotle,2018,-15.381902678863307
32,chipotle,2019,7.67111774609914
33,cisco,2017,-1.7159615935754529
34,cisco,2018,67.93037041613513
35,cisco,2019,-1.6737344888580394
36,colgate palmolive,2017,13.642537606859436
37,colgate palmolive,2018,12.497432366505807
38,colgate palmolive,2019,-11.95016627117612
39,costco,2017,44.22186587901536
40,costco,2018,-2.7074687925348466
41,costco,2019,7.247665475090775
42,crocs,2017,15.157852059556715
43,crocs,2018,116.92127929225629
44,crocs,2019,107.15742555544396
45,delta air lines,2017,-11.293062765326038
46,delta air lines,2018,1.5811388115038043
47,delta air lines,2019,-7.512660135169217
48,fedex,2017,14.876323716375367
49,fedex,2018,41.166074221073664
50,fedex,2019,-8.202742235106761
51,foot locker,2017,12.476593520750724
52,foot locker,2018,-4.792466476234138
53,foot locker,2019,-4.437642110781647
54,google,2017,1.4804392748849113
55,google,2018,50.067700952704975
56,google,2019,-21.03086328536465
57,hershey company,2017,-19.793958470123464
58,hershey company,2018,15.010996724209798
59,hershey company,2019,27.849440031543548
60,hilton,2017,-7.529478612119175
61,hilton,2018,60.2554617107933
62,hilton,2019,-27.74658350036219
63,honda,2017,-6.447268020381338
64,honda,2018,12.668053217503806
65,honda,2019,-21.680597170498615
66,johnson & johnson,2017,-8.784504537853472
67,johnson & johnson,2018,38.55247048655433
68,johnson & johnson,2019,-3.713351543819731
69,jpmorgan chase & co,2017,17.22358090178998
70,jpmorgan chase & co,2018,33.55575009211564
71,jpmorgan chase & co,2019,-17.912405015929338
72,logitech,2017,45.92432279725489
73,logitech,2018,-7.693152912853581
74,logitech,2019,-42.36952253242106
75,lvmh,2017,21.779076648518757
76,lvmh,2018,79.31755058939783
77,lvmh,2019,22.20913479269999
78,marriott,2017,-3.718086889017204
79,marriott,2018,12.454257416436063
80,marriott,2019,-21.3010361208487
81,mastercard,2017,3.4840480024611384
82,mastercard,2018,85.65676463647834
83,mastercard,2019,16.681801366145702
84,mcdonald's,2017,-21.5412512807508
85,mcdonald's,2018,36.72240480181602
86,mcdonald's,2019,-0.10234625518498613
87,microsoft,2017,-2.826066021018832
88,microsoft,2018,101.13037541331498
89,microsoft,2019,1.5310789304791201
90,netflix,2017,-15.269637156502158
91,netflix,2018,235.05703274773265
92,netflix,2019,-29.991910961855844
93,nike,2017,-2.408064779510928
94,nike,2018,2.0767998577145206
95,nike,2019,4.22481115457727
96,nintendo,2017,-24.25688192301591
97,nintendo,2018,19.058805238859538
98,nintendo,2019,-4.928176811048067
99,nordstrom,2017,-28.55774696274024
100,nordstrom,2018,6.584975381282811
101,nordstrom,2019,9.919908546990785
102,nvidia,2017,286.00882392138226
103,nvidia,2018,21.652402442016662
104,nvidia,2019,-36.61047935556183
105,philips,2017,38.13100422554814
106,philips,2018,-13.935952566373693
107,philips,2019,-39.29479285617337
108,porsche,2017,-2.4672505709562236
109,porsche,2018,202.74951858004445
110,porsche,2019,-20.574840430875803
111,procter & gamble,2017,-34.43894627016961
112,procter & gamble,2018,24.558045692086136
113,procter & gamble,2019,9.674985409815296
114,puma,2017,202.37298553304234
115,puma,2018,532.083384372475
116,puma,2019,-57.63094626124292
117,salesforce / slack,2017,-5.701236563636602
118,salesforce / slack,2018,93.37894714653288
119,salesforce / slack,2019,13.825498200075515
120,shopify,2017,568.4066139556124
121,shopify,2018,30.2621549526665
122,shopify,2019,146.10216981622764
123,southwest airlines,2017,1.3638925317946395
124,southwest airlines,2018,0.29482333192622906
125,southwest airlines,2019,-25.091742840790836
126,starbucks,2017,2.0452691991703356
127,starbucks,2018,24.670205682228254
128,starbucks,2019,0.811925436423464
129,target,2017,6.0700767648216924
130,target,2018,3.6230497432000166
131,target,2019,15.33369561484575
132,tesla,2017,108.40332064796898
133,tesla,2018,35.01938313366934
134,tesla,2019,-7.746261008737417
135,the coca-cola company,2017,-11.173203892394401
136,the coca-cola company,2018,17.714862972926014
137,the coca-cola company,2019,17.43400026806031
138,the home depot,2017,7.972070023368823
139,the home depot,2018,35.95476750469142
140,the home depot,2019,-4.722155590807874
141,the walt disney company,2017,0.5330605796407388
142,the walt disney company,2018,12.431226049038866
143,the walt disney company,2019,55.810452644782856
144,toyota,2017,-42.538798835273575
145,toyota,2018,6.810564068742717
146,toyota,2019,-30.279652080647452
147,ubisoft,2017,474.2794760485482
148,ubisoft,2018,659.5615988244026
149,ubisoft,2019,126.90166876999818
150,unilever,2017,33.66508319564541
